Entity,Code,Day,New cases (per 1M),Hospital admissions (per 1M),Patients in ICU (per 1M),New deaths (per 1M)
United Kingdom,GBR,2020-01-09,0,,,0
United Kingdom,GBR,2020-01-10,0,,,0
United Kingdom,GBR,2020-01-11,0,,,0
United Kingdom,GBR,2020-01-12,0,,,0
United Kingdom,GBR,2020-01-13,0,,,0
United Kingdom,GBR,2020-01-14,0,,,0
United Kingdom,GBR,2020-01-15,0,,,0
United Kingdom,GBR,2020-01-16,0,,,0
United Kingdom,GBR,2020-01-17,0,,,0
United Kingdom,GBR,2020-01-18,0,,,0
United Kingdom,GBR,2020-01-19,0,,,0
United Kingdom,GBR,2020-01-20,0,,,0
United Kingdom,GBR,2020-01-21,0,,,0
United Kingdom,GBR,2020-01-22,0,,,0
United Kingdom,GBR,2020-01-23,0,,,0
United Kingdom,GBR,2020-01-24,0,,,0
United Kingdom,GBR,2020-01-25,0,,,0
United Kingdom,GBR,2020-01-26,0,,,0
United Kingdom,GBR,2020-01-27,0,,,0
United Kingdom,GBR,2020-01-28,0,,,0
United Kingdom,GBR,2020-01-29,0,,,0
United Kingdom,GBR,2020-01-30,0,,,0
United Kingdom,GBR,2020-01-31,0,,,0
United Kingdom,GBR,2020-02-01,0.002095315,,,0.002095315
United Kingdom,GBR,2020-02-02,0.002095315,,,0.002095315
United Kingdom,GBR,2020-02-03,0.002095315,,,0.002095315
United Kingdom,GBR,2020-02-04,0.00419063,,,0.00419063
United Kingdom,GBR,2020-02-05,0.0419063,,,0.00419063
United Kingdom,GBR,2020-02-06,0.0419063,,,0.00419063
United Kingdom,GBR,2020-02-07,0.044001617,,,0.00419063
United Kingdom,GBR,2020-02-08,0.0419063,,,0.002095315
United Kingdom,GBR,2020-02-09,0.0419063,,,0.002095315
United Kingdom,GBR,2020-02-10,0.048192244,,,0.002095315
United Kingdom,GBR,2020-02-11,0.048192244,,,0
United Kingdom,GBR,2020-02-12,0.01257189,,,0
United Kingdom,GBR,2020-02-13,0.02095315,,,0
United Kingdom,GBR,2020-02-14,0.02095315,,,0
United Kingdom,GBR,2020-02-15,0.023048466,,,0
United Kingdom,GBR,2020-02-16,0.023048466,,,0
United Kingdom,GBR,2020-02-17,0.01676252,,,0
United Kingdom,GBR,2020-02-18,0.0146672055,,,0
United Kingdom,GBR,2020-02-19,0.0146672055,,,0
United Kingdom,GBR,2020-02-20,0.006285945,,,0
United Kingdom,GBR,2020-02-21,0.00419063,,,0
United Kingdom,GBR,2020-02-22,0.002095315,,,0
United Kingdom,GBR,2020-02-23,0.006285945,,,0
United Kingdom,GBR,2020-02-24,0.006285945,,,0.002095315
United Kingdom,GBR,2020-02-25,0.018857835,,,0.002095315
United Kingdom,GBR,2020-02-26,0.02095315,,,0.002095315
United Kingdom,GBR,2020-02-27,0.027239095,,,0.002095315
United Kingdom,GBR,2020-02-28,0.031429727,,,0.002095315
United Kingdom,GBR,2020-02-29,0.048192244,,,0.002095315
United Kingdom,GBR,2020-03-01,0.0691454,,,0.002095315
United Kingdom,GBR,2020-03-02,0.07752666,,,0
United Kingdom,GBR,2020-03-03,0.10686107,,,0
United Kingdom,GBR,2020-03-04,0.18857835,,,0.002095315
United Kingdom,GBR,2020-03-05,0.30382067,,,0.002095315
United Kingdom,GBR,2020-03-06,0.4169677,,,0.00419063
United Kingdom,GBR,2020-03-07,0.5028756,,,0.00838126
United Kingdom,GBR,2020-03-08,0.651643,,,0.01257189
United Kingdom,GBR,2020-03-09,0.7857431,,,0.01257189
United Kingdom,GBR,2020-03-10,0.8590792,,,0.01676252
United Kingdom,GBR,2020-03-11,1.0832778,,,0.02514378
United Kingdom,GBR,2020-03-12,1.5170081,,,0.031429727
United Kingdom,GBR,2020-03-13,2.2440825,,,0.044001617
United Kingdom,GBR,2020-03-14,3.1555445,,,0.06705008
United Kingdom,GBR,2020-03-15,3.9831939,,,0.09638449
United Kingdom,GBR,2020-03-16,4.5782633,,,0.1403861
United Kingdom,GBR,2020-03-17,5.387055,,,0.19905493
United Kingdom,GBR,2020-03-18,6.338328,,,0.2933441
United Kingdom,GBR,2020-03-19,7.4237013,,,0.40858644
United Kingdom,GBR,2020-03-20,8.641079,,,0.5468772
United Kingdom,GBR,2020-03-21,9.806074,,,0.685168
United Kingdom,GBR,2020-03-22,11.429943,,,0.89889014
United Kingdom,GBR,2020-03-23,13.17115,,,1.1545186
United Kingdom,GBR,2020-03-24,15.09884,,,1.4751018
United Kingdom,GBR,2020-03-25,18.633636,,,1.801971
